Rodzaj zawiad.,Zawiadomienie,Data zawiadom.,Oznaczenie,Priorytet,Typ zawiadomienia,Dzień tygodnia
PT,12707124,2025-06-30,1-Modelator OPM,Nieokreślony,preventive,Monday
1P,12701513,2025-06-26,1-Modelator OPM,2-wysoki,awaria,Thursday
PQ,12680271,2025-06-09,1-Modelator OPM,4-niski,usprawnienie,Monday
1P,12680129,2025-06-08,1-Modelator OPM,2-wysoki,awaria,Sunday
1P,12680117,2025-06-09,1-Modelator OPM,3-średni,awaria,Monday
1P,12670455,2025-05-31,1-Modelator OPM,2-wysoki,awaria,Saturday
1P,12571104,2025-03-13,1-Modelator OPM,Nieokreślony,awaria,Thursday
PQ,12570976,2025-03-13,1-Modelator OPM,3-średni,usprawnienie,Thursday
1P,12569000,2025-03-12,1-Modelator OPM,2-wysoki,awaria,Wednesday
PT,12566933,2025-03-11,1-Modelator OPM,Nieokreślony,preventive,Tuesday
PT,12564358,2024-01-20,1-Modelator OPM,2-wysoki,preventive,Saturday
1P,12536006,2025-02-16,1-Modelator OPM,Nieokreślony,awaria,Sunday
1P,12509796,2025-01-28,1-Modelator OPM,3-średni,awaria,Tuesday
PT,12470613,2024-12-23,1-Modelator OPM,Nieokreślony,preventive,Monday
1P,12461670,2024-12-15,1-Modelator OPM,3-średni,awaria,Sunday
PT,12442919,2024-12-02,1-Modelator OPM,Nieokreślony,preventive,Monday
PT,12423196,2024-11-16,1-Modelator OPM,Nieokreślony,preventive,Saturday
1P,12421978,2024-11-15,1-Modelator OPM,3-średni,awaria,Friday
1P,12409204,2024-11-06,1-Modelator OPM,3-średni,awaria,Wednesday
1P,12409203,2024-11-06,1-Modelator OPM,3-średni,awaria,Wednesday
1P,12409201,2024-11-06,1-Modelator OPM,3-średni,awaria,Wednesday
1P,12409171,2024-11-06,1-Modelator OPM,3-średni,awaria,Wednesday
1P,12409149,2024-11-06,1-Modelator OPM,3-średni,awaria,Wednesday
1P,12409147,2024-11-06,1-Modelator OPM,3-średni,awaria,Wednesday
1P,12409145,2024-11-06,1-Modelator OPM,3-średni,awaria,Wednesday
1P,12409143,2024-11-06,1-Modelator OPM,3-średni,awaria,Wednesday
1P,12408976,2024-11-06,1-Modelator OPM,3-średni,awaria,Wednesday
1P,12387174,2024-10-21,1-Modelator OPM,3-średni,awaria,Monday
1P,12385987,2024-10-18,1-Modelator OPM,1 - bardzo wysokie,awaria,Friday
PT,12367238,2024-10-04,1-Modelator OPM,Nieokreślony,preventive,Friday
1P,12289106,2024-08-04,1-Modelator OPM,Nieokreślony,awaria,Sunday
1P,12289096,2024-08-04,1-Modelator OPM,3-średni,awaria,Sunday
1P,12253472,2024-07-02,1-Modelator OPM,Nieokreślony,awaria,Tuesday
PT,12250888,2024-07-01,1-Modelator OPM,Nieokreślony,preventive,Monday
1P,12201829,2024-05-16,1-Modelator OPM,2-wysoki,awaria,Thursday
1P,12186092,2024-04-30,1-Modelator OPM,Nieokreślony,awaria,Tuesday
PT,12167967,2024-04-12,1-Modelator OPM,Nieokreślony,preventive,Friday
PT,12121816,2024-02-27,1-Modelator OPM,Nieokreślony,preventive,Tuesday
1P,12108371,2024-02-15,1-Modelator OPM,3-średni,awaria,Thursday
PT,12089706,2024-01-30,1-Modelator OPM,Nieokreślony,preventive,Tuesday
1P,12067533,2024-01-10,1-Modelator OPM,2-wysoki,awaria,Wednesday
1P,12066380,2024-01-09,1-Modelator OPM,3-średni,awaria,Tuesday
1P,12064459,2024-01-08,1-Modelator OPM,3-średni,awaria,Monday
1P,12035833,2023-12-07,1-Modelator OPM,3-średni,awaria,Thursday
1P,12017925,2023-11-23,1-Modelator OPM,Nieokreślony,awaria,Thursday
1P,12006186,2023-11-13,1-Modelator OPM,Nieokreślony,awaria,Monday
1P,12006130,2023-11-12,1-Modelator OPM,3-średni,awaria,Sunday
1P,11996240,2023-11-03,1-Modelator OPM,3-średni,awaria,Friday
1P,11964728,2023-10-07,1-Modelator OPM,3-średni,awaria,Saturday
PT,11940291,2023-09-16,1-Modelator OPM,2-wysoki,preventive,Saturday
1P,11929265,2023-09-06,1-Modelator OPM,1 - bardzo wysokie,awaria,Wednesday
1P,11924702,2023-09-03,1-Modelator OPM,Nieokreślony,awaria,Sunday
1P,11924136,2023-09-03,1-Modelator OPM,3-średni,awaria,Sunday
1P,11915737,2023-08-25,1-Modelator OPM,Nieokreślony,awaria,Friday
1P,11882808,2023-07-23,1-Modelator OPM,Nieokreślony,awaria,Sunday
1P,11882505,2023-07-22,1-Modelator OPM,Nieokreślony,awaria,Saturday
1P,11875768,2023-07-14,1-Modelator OPM,Nieokreślony,awaria,Friday
PT,11861156,2023-06-27,1-Modelator OPM,Nieokreślony,preventive,Tuesday
PT,11846650,2023-06-12,1-Modelator OPM,Nieokreślony,preventive,Monday
PT,11817364,2023-05-16,1-Modelator OPM,Nieokreślony,preventive,Tuesday
1P,11814609,2023-05-13,1-Modelator OPM,3-średni,awaria,Saturday
1P,11811825,2023-05-10,1-Modelator OPM,4-niski,awaria,Wednesday
1P,11793671,2023-04-19,1-Modelator OPM,Nieokreślony,awaria,Wednesday
1P,11756324,2023-03-10,1-Modelator OPM,Nieokreślony,awaria,Friday
1P,11748759,2023-03-03,1-Modelator OPM,3-średni,awaria,Friday
1P,11748164,2023-03-02,1-Modelator OPM,Nieokreślony,awaria,Thursday
PQ,11746405,2023-03-01,1-Modelator OPM,Nieokreślony,usprawnienie,Wednesday
PT,11746176,2023-03-01,1-Modelator OPM,Nieokreślony,preventive,Wednesday
PT,11742735,2023-02-25,1-Modelator OPM,Nieokreślony,preventive,Saturday
PT,11725173,2023-02-07,1-Modelator OPM,Nieokreślony,preventive,Tuesday
1P,11721641,2023-02-04,1-Modelator OPM,Nieokreślony,awaria,Saturday
1P,11719008,2023-02-02,1-Modelator OPM,Nieokreślony,awaria,Thursday
PQ,11715438,2023-01-30,1-Modelator OPM,Nieokreślony,usprawnienie,Monday
1P,11712794,2023-01-31,1-Modelator OPM,3-średni,awaria,Tuesday
1P,11698952,2023-01-14,1-Modelator OPM,Nieokreślony,awaria,Saturday
1P,11663535,2022-12-05,1-Modelator OPM,Nieokreślony,awaria,Monday
