Rdz.;Oznaczenie
$$;Wzorzec zleceń wewnętrznych
1001;Internal STI
1002;Sales STI.
1003;Structure STI
1004;Internal Orders Other Costs Canada
AR01;Internal Orders Product Australia
AR02;Internal Orders Marketing Australia
AR03;Internal Orders Trade Australia
AR04;Internal Orders Other costs Australia
AR05;Main Events Francia
AR10;Internal Orders Investment Australia
AR20;Internal Order Statistical Australia
AR21;Internal Order Statistical C&D Argentina
AR60;Zlec. ręczne R/3 (konf. - norm.)
AR61;Norm. produkcja z APO
AR62;Konfekcja z APO
AR65;FR Re-packing orders via prod. model
AR66;Zlecenie testowe
AR67;Zbieracz dodatkowych koszt. dla zlec. te
AR69;Zmiana kodu zlecenia Z BOM
AR79;Czyszczenie 'Suprise'
AR82;IT Manual R/3 order (copacker - normal)
ARM1;WO - Corrective Maintenance
ARM2;WO - Preventive Maintenance Scheduled
ARM3;WO - Preventive Maintenance Conditional
ARM4;WO - Improvement Maintenance
ARM5;WO - Shut Down Maintenance
ARM6;WO - Corrective Maintenance Postponed
ARM7;WO - Operational Assis.during production
ARM8;WO - Operational Assis during no product
ARM9;WO - Unpredictable Cost
ARMA;WO - Others Cost
ARMB;WO - New Investments (Commessa)
ARMF;WO - Building Works
AT01;Internal Orders Product OSTERREICH
AT02;Internal Orders Marketing OSTERREICH
AT03;Internal Orders Trade  OSTERREICH
AT04;Internal Orders Other costs OSTERREICH
AT10;Internal Orders Investment OSTERREICH
AT20;Internal Order Statistical OSTERREICH
AT21;Internal Order Statistical C&D OSTERREIC
AT60;FR Manual R/3 order (copacker - normal)
AT62;Konfekcja z APO
AU01;Internal Orders Product Australia
AU02;Internal Orders Marketing Australia
AU03;Internal Orders Trade Australia
AU04;Internal Orders Other costs Australia
AU07;Internal Orders Marketing Australia
AU10;Internal Orders Investment Australia
AU20;Internal Order Statistical Australia
AU21;Internal Order Statistical C&D Australia
AU60;Zlec. ręczne R/3 (konf. - norm.)
AU61;Norm. produkcja z APO
AU62;Konfekcja z APO
AU65;AU Zlec. przepakow. z model.produkc.
AU66;Zlecenie testowe
AU67;Zbieracz dodatkowych koszt. dla zlec. te
AUM1;WO - Corrective Maintenance
AUM2;WO - Preventive Maintenance Scheduled
AUM3;WO - Preventive Maintenance Conditional
AUM4;WO - Improvement Maintenance
AUM5;WO - Shut Down Maintenance
AUM6;WO - Corrective Maintenance Postponed
AUM7;WO - Operational Assis.during production
AUM8;WO - Operational Assis during no product
AUM9;WO - Unpredictable Cost
AUMA;WO - Others Cost
AUMB;WO - New Investments (Commessa)
AUMF;WO - Building Works
B201;Internal Orders Product Ferrero SA
B202;Internal Orders Marketing Ferrero SA
B203;Internal Orders Trade Ferrero SA
B204;Internal Orders Other Costs Ferrero SA
B207;Internal Orders Marketing Ferrero SA
B210;Internal Orders Investment Ferrero SA
B220;Internal Order Statistical Ferrero SA
B250;Internal Order Copacking Ferrero SA
B301;Internal Orders Product Soremartec S.A.
B303;Internal Orders Trade Soremartec S.A.
B304;Internal Order Other Costs Schweiz
B310;Internal Orders Investment Soremartec
B320;Internal Orders Statistical Soremartec
BE10;Internal Orders Investment Ardenne
BE20;Internal Order Statistical Ardenne
BE60;BE Manual R/3 order (copacker - normal)
BE61;BE Normal production via APO
BE62;BE Co-packer production via APO
BE65;BE Re-packing orders via prod. model
BE66;IT test order
BE67;IT test order
BE69;Zmiana kodu zlecenia Z BOM
BE75;IT Re-packing orders via prod. model
BE81;BE Manual R/3 order (copacker - normal)
BE82;BE Manual R/3 order (copacker - normal)
BEM1;Breakdown emergency
BEM2;Preventive cycle
BEM3;Preventive condition
BEM4;Ameliorative
BEM5;Revisions
BEM6;Breakdown deferrable
BEM7;Operational assistance
BEM8;Operational assistance no production
BEM9;WO - Unpredictable cost
