Urządzenie;Oznaczenie;Ważne do;Zakład planow.
10079542;1-Piec do wypieku wafla RAF 1;31.12.9999;PLPA
10079543;2-Homogenizator - YSTRAL;31.12.9999;PLPA
10079544;2-PLASTYFIKATOR DO CIASTA V-1000L;31.12.9999;PLPA
10079545;2-ZBIORNIK DO CIASTA V-1500L;31.12.9999;PLPA
10079546;2-ZBIORNIK DO CIASTA V-120L;31.12.9999;PLPA
10079547;2-SEPARATOR DO MĄKI V-500L;31.12.9999;PLPA
10079548;1-Piec do wypieku wafla RAF 2;31.12.9999;PLPA
10079549;2-ZBIORNIK DO CIASTA V-120L;31.12.9999;PLPA
10079550;1-Łukowy przechładzacz wafla 1 RAF ARKA;31.12.9999;PLPA
10079551;2-Młynek do wafla;31.12.9999;PLPA
10079552;1-Łukowy przechładzacz wafla 2 RAF ARKA;31.12.9999;PLPA
10079553;2-Młynek do wafla;31.12.9999;PLPA
10079554;1-Nawilżacz wafla 1;31.12.9999;PLPA
10079555;2-CENTRALA KLIMATYZ. FAST FM50 8305946 (;31.12.9999;PLPA
10079556;2-CENTRALA KLIMATYZ. FAST FM50 8305946 (;31.12.9999;PLPA
10079557;2-Transporter wafla z magazynkiem /podst;31.12.9999;PLPA
10079558;2-Magazynek wafla z transporterem nr 1 /;31.12.9999;PLPA
10079559;2-Maszyna ścinajaca wafel nr 1;31.12.9999;PLPA
10079560;1-Nawilżacz wafla 2;31.12.9999;PLPA
10079561;2-Transporter wafla z magazynkiem /zapas;31.12.9999;PLPA
10079562;2-Magazynek wafla z transporterem nr 2 /;31.12.9999;PLPA
10079563;2-Maszyna ścinajaca wafel nr 2;31.12.9999;PLPA
10079564;1-PRASA ŚLIMAKOWA DO WAFLI /odpad/;31.12.9999;PLPA
10079565;2-Transporter wafla z układem ścinania w;31.12.9999;PLPA
10079566;2-UKŁAD TRANSPORTOWY DO SEKCJI T8 NR 1+s;31.12.9999;PLPA
10079567;2-UKŁAD TRANSPORTOWY DO SEKCJI T8 NR 2+s;31.12.9999;PLPA
10079568;2-Pakowarka pozioma 3   2726;31.12.9999;PLPA
10079569;1-Capri Cavi Fig.Cava 15g - Auto oklej;31.12.9999;PLPA
10079570;1-Pakowarka pozioma+ety (nie logować);31.12.9999;PLPA
10079571;1-Transporter Plate Flex link;31.12.9999;PLPA
10079572;1-Transporter Plate Flex link;31.12.9999;PLPA
10079573;1-Transporter Plate Flex link;31.12.9999;PLPA
10079574;1-Transporter Plate Flex link;31.12.9999;PLPA
10079575;1-Transporter Plate Flex link;31.12.9999;PLPA
10079576;2-Transporter polikordowy;31.12.9999;PLPA
10079577;2-Line KBueno - KB1 Power Supply;31.12.9999;PLPA
10079578;2-Line KBueno - KB1 Power Supply;31.12.9999;PLPA
10079579;2-Line KBueno - KB1 Power Supply;31.12.9999;PLPA
10079580;2-Line KBueno - KB1 Power Supply;31.12.9999;PLPA
10079581;2-Line KBueno - KB1 Power Supply;31.12.9999;PLPA
10079582;2-Line KBueno - KB1 Power Supply;31.12.9999;PLPA
10079583;2-Pakowarka pozioma 1;31.12.9999;PLPA
10079584;2-Wykrywacz metali;31.12.9999;PLPA
10079585;2-Wykrywacz metali;31.12.9999;PLPA
10079586;2-Zrobotyzowane urzadzenie pobierajace;31.12.9999;PLPA
10079587;2-Pakowarka pozioma 0;31.12.9999;PLPA
10079588;2-Transporter taśmowy nr 4;31.12.9999;PLPA
10079589;2-Wykrywacz metali nr 0;31.12.9999;PLPA
10079590;2-Zespól transporterów dolnych z urządze;31.12.9999;PLPA
10079591;1-Pakowarka pozioma nr 5 stary;31.12.9999;PLPA
10079592;2-Transporter taśmowy nr 5;31.12.9999;PLPA
10079593;2-Metaldetektor;31.12.9999;PLPA
10079594;2-Transporter górny;31.12.9999;PLPA
10079595;1-Pakowarka pozioma nr6;31.12.9999;PLPA
10079596;2-Przekładacze pralin nr 6;31.12.9999;PLPA
10079597;2-Transporter taśmowy nr 6;31.12.9999;PLPA
10079598;2-Wykrywacz metali nr 6;31.12.9999;PLPA
10079599;2-Transporter górny;31.12.9999;PLPA
10079600;1-Pakowarka pozioma nr7;31.12.9999;PLPA
10079601;2-Wykrywacz metali nr 7;31.12.9999;PLPA
10079602;2-Transporter górny;31.12.9999;PLPA
10079603;1-Bufor na końcu linii /magazyn pralin;31.12.9999;PLPA
10079604;2-Stacja czyszczenia tacek-modelator Raf;31.12.9999;PLPA
10079605;1-Transportery;31.12.9999;PLPA
10079606;2-Transporter górny /do T1 luzem/;31.12.9999;PLPA
10079607;2-Transporter górny /do T1 luzem/;31.12.9999;PLPA
10079608;2-Transporter górny /do T1 luzem/;31.12.9999;PLPA
10079609;2-Transporter górny /do T1 luzem/;31.12.9999;PLPA
10079610;2-Transporter górny /do T1 luzem/;31.12.9999;PLPA
10079611;2-Transporter górny /do T1 luzem/;31.12.9999;PLPA
