Lokaliz. funkc.;Oznaczenie;Zakład planow.
PLPA;Ferrero Polska;PLPA
PLPA-CM;Inwestycje;PLPA
PLPA-CM-999;Inwestycje;PLPA
PLPA-CM-999-000001;Inwestycje;PLPA
PLPA-CM-999-000001-001;Inwestycje;PLPA
PLPA-EN;Ferrero Polska Energhe;PLPA
PLPA-EN-001;Energhe;PLPA
PLPA-EN-001-100000;Energhe;PLPA
PLPA-EN-001-100000-001;Energhe Materiały i usługi;PLPA
PLPA-EN-031;(NIE UŻYWAĆ) KOTŁOWNIE I URZĄDZENIA;PLPA
PLPA-EN-031-100000;(NIE UŻYWAĆ) KOTŁOWNIE;PLPA
PLPA-EN-031-100000-001;KOTŁOWNIA NR.1;PLPA
PLPA-EN-031-100000-002;KOTŁOWNIA NR.2;PLPA
PLPA-EN-031-100001;(NIE UŻYWAĆ) URZĄDZENIA POMOCNICZE;PLPA
PLPA-EN-031-100001-001;SILNIK JENBACHER;PLPA
PLPA-EN-031-100001-002;TURBINA MERCURY M50;PLPA
PLPA-EN-031-100001-003;KOMPRESOR GAZU;PLPA
PLPA-EN-031-100001-004;XXXXXXX;PLPA
PLPA-EN-031-100002;(NIE UŻYWAĆ) KLIMATYZACJA;PLPA
PLPA-EN-031-100002-001;HALA RAFFAELLO - BUDYNEK 6;PLPA
PLPA-EN-031-100002-002;MAGAZYN OPAKOWAŃ - BUDYNEK 5;PLPA
PLPA-EN-031-100002-003;MAGAZYN OPAKOWAŃ-ZAŁADUNEK-BUDYNEK 5;PLPA
PLPA-EN-031-100002-004;HALA FC/KB2 - BUDYNEK 16;PLPA
PLPA-EN-031-100002-005;HALA KJ/KB3/NUT/PLASTIKI - BUDYNEK 15;PLPA
PLPA-EN-031-100002-006;HALA B-READY - BUDYNEK 17;PLPA
PLPA-EN-031-100002-007;HUB-HALA WYSYŁEK - BUDYNEK 18 (A);PLPA
PLPA-EN-031-100002-008;HUB SILOS - BUDYNEK 18;PLPA
PLPA-EN-031-100002-009;HUB MASZYNOWNIA - BUDYNEK 18;PLPA
PLPA-EN-031-100002-010;MAGAZYN SUROWCOW- BUDYNEK 9;PLPA
PLPA-EN-031-100002-011;DEZODORATOR/TICTAC - BUDYNEK 7;PLPA
PLPA-EN-031-100002-012;WARSZTAT MECHANICZNY - BUDYNEK 12;PLPA
