Rodzaj zawiad.;Zawiadomienie;Nr zlec.;Opis;Data zawiadom.;Oznaczenie;Utworzone przez;Priorytet;Status systemu
PT;12707124;50000227175;Przegląd Modelatora OPM;30.06.2025;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
1P;12701513;50000226782;Blokada form na obracacie w strefie;26.06.2025;1-Modelator OPM;MATYNGRZE1;2-wysoki;MOBI PRZL ZWZK
PQ;12680271;50000227196;Wymiana odpowietrznika;09.06.2025;1-Modelator OPM;GAWROPIOT1;4-niski;MOBI PRZL WTZW ZRZa
1P;12680129;50000225015;Głośna praca Allgaiera czekolady;08.06.2025;1-Modelator OPM;GAWROPIOT1;2-wysoki;MOBI PRZL ZWZK
1P;12680117;50000225183;Brak temperatury produktu;09.06.2025;1-Modelator OPM;GAWROPIOT1;3-średni;MOBI PRZL ZWZK
1P;12670455;50000224134;Ścięcie ostrych krawędzi pod lejami;31.05.2025;1-Modelator OPM;ZAPARJACE1;2-wysoki;MOBI PRZL ZRZa ZWZK
1P;12571104;50000216888;AWARIA OBRACACZA FORM;13.03.2025;1-Modelator OPM;DABROPIOT2;;PRZL WTZW
PQ;12570976;50000227282;Nieprawidłowa praca obracaczy na RD;13.03.2025;1-Modelator OPM;MATYNGRZE1;3-średni;MOBI PRZL WTZW ZRZa
1P;12569000;50000216925;Myjka nr 2 nie załącza się.;12.03.2025;1-Modelator OPM;KUCHAKONR1;2-wysoki;MOBI PRZL ZWZK
PT;12566933;50000216767;Przegląd Modelatora OPM;11.03.2025;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
PT;12564358;50000174243;KB 3. Pakowaczki. Przegląd/naprawa/konse;20.01.2024;1-Modelator OPM;KOWALDAMI1;2-wysoki;PRZL WTZW
1P;12536006;50000214522;PRZEGLĄD SZAF ELEKTRYCZNYCH;16.02.2025;1-Modelator OPM;SKRETKACP1;;PRZL ZWZK
1P;12509796;;Do regulacji pozycja obracacza;28.01.2025;1-Modelator OPM;GAWROPIOT1;3-średni;MOBI ZWZK
PT;12470613;50000208513;Przegląd Modelatora OPM;23.12.2024;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
1P;12461670;50000207847;Brak uszczelki do matrycy;15.12.2024;1-Modelator OPM;JAKUBLUKA1;3-średni;MOBI PRZL ZWZK
PT;12442919;50000206365;Przegląd wózków paletowych;02.12.2024;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
PT;12423196;50000204251;USUNIĘCIE WYCIEKÓW POWIETRZA;16.11.2024;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
1P;12421978;50000204369;Rozbieranie filtra Russel mycie sita.;15.11.2024;1-Modelator OPM;DOROCSEBA1;3-średni;MOBI PRZL ZWZK
1P;12409204;50000202991;Nieszczelny zawór;06.11.2024;1-Modelator OPM;ZAPARJACE1;3-średni;MOBI PRZL WTZW
1P;12409203;;Nieszczelny zawór;06.11.2024;1-Modelator OPM;ZAPARJACE1;3-średni;MOBI ZWZK
1P;12409201;;Nieszczelna złączka;06.11.2024;1-Modelator OPM;ZAPARJACE1;3-średni;MOBI ZWZK
1P;12409171;;Nieszczelna wyspa zaworowa;06.11.2024;1-Modelator OPM;ZAPARJACE1;3-średni;MOBI ZWZK
1P;12409149;;Nieszczelny siłownik;06.11.2024;1-Modelator OPM;ZAPARJACE1;3-średni;MOBI ZWZK
1P;12409147;;Nieszczelność-napęd wałka folii front;06.11.2024;1-Modelator OPM;ZAPARJACE1;3-średni;MOBI ZWZK
1P;12409145;;Nieszczelność-napęd wałka folii front;06.11.2024;1-Modelator OPM;ZAPARJACE1;3-średni;MOBI ZWZK
1P;12409143;;Nieszczelność- napęd wałka folii back;06.11.2024;1-Modelator OPM;ZAPARJACE1;3-średni;MOBI ZWZK
1P;12408976;;Nieszczelna złączka nad chłodnią pompą;06.11.2024;1-Modelator OPM;ZAPARJACE1;3-średni;MOBI ZWZK
1P;12387174;;Do wymiany  elektro zawór na Russell;21.10.2024;1-Modelator OPM;MATYNGRZE1;3-średni;MOBI ZWZK
1P;12385987;;Uszkodzony zawór otwierający zrzut czek;18.10.2024;1-Modelator OPM;MATYNGRZE1;1 - bardzo wysokie;MOBI ZWZK
PT;12367238;50000199746;Naprawa drabin;04.10.2024;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
1P;12289106;50000192768;CZYSZCZENIE RASELI;04.08.2024;1-Modelator OPM;GADEKJACE1;;PRZL ZWZK
1P;12289096;50000192570;Niedziałająca 4 sekcja lamp przed HE;04.08.2024;1-Modelator OPM;GAWROPIOT1;3-średni;MOBI PRZL ZWZK
1P;12253472;50000189941;USZKODZONYPPANEL OD KLIMATY AIRINOTEC;02.07.2024;1-Modelator OPM;KAMINBART1;;PRZL ZWZK
PT;12250888;50000189723;Przegląd prewencyjny Modelatora OPM;01.07.2024;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
1P;12201829;50000184849;Usterka łańcucha;16.05.2024;1-Modelator OPM;GAWROPIOT1;2-wysoki;MOBI PRZL ZWZK
1P;12186092;50000183587;URUCHOMIENIE ZBIORNIKA 9902A;30.04.2024;1-Modelator OPM;SKRETKACP1;;PRZL ZWZK
PT;12167967;50000182024;Modernizacja szafy pod centralki;12.04.2024;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
PT;12121816;50000178363;Przegląd prewencyjny Modelatora OPM;27.02.2024;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
1P;12108371;50000176730;Przerobienie przewodu do wody od rury;15.02.2024;1-Modelator OPM;GAWROPIOT1;3-średni;MOBI PRZL ZWZK
PT;12089706;50000175097;Przegląd modelatora OPM;30.01.2024;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
1P;12067533;50000173039;Brak grzania lamp przed HE (sekcja 4);10.01.2024;1-Modelator OPM;DOROCSEBA1;2-wysoki;MOBI PRZL ZWZK
1P;12066380;50000173100;Odłączyć napięcie z silnika;09.01.2024;1-Modelator OPM;DOROCSEBA1;3-średni;MOBI PRZL ZWZK
1P;12064459;50000172748;Rozkręcanie Russella awaria.;08.01.2024;1-Modelator OPM;DOROCSEBA1;3-średni;MOBI PRZL ZWZK
1P;12035833;50000170325;Lampy przed tunelem grzewczym.;07.12.2023;1-Modelator OPM;GAWROPIOT1;3-średni;MOBI PRZL ZWZK
1P;12017925;50000168113;USTERKA ZAWORU;23.11.2023;1-Modelator OPM;KOWALROBE1;;PRZL WTZW
1P;12006186;50000167176;NAPRAWA POMP;13.11.2023;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;12006130;50000167355;Uszczelka do matryc;12.11.2023;1-Modelator OPM;SENATTOMA1;3-średni;MOBI PRZL ZWZK
1P;11996240;50000166289;Wymiana przewodu od próżni;03.11.2023;1-Modelator OPM;DOROCSEBA1;3-średni;MOBI PRZL ZWZK
1P;11964728;50000163298;Zb. buforowy brak szczelności zaworu.;07.10.2023;1-Modelator OPM;GAWROPIOT1;3-średni;MOBI PRZL ZWZK
PT;11940291;50000161511;Przegląd/modernizacja;16.09.2023;1-Modelator OPM;SMYLROBE1;2-wysoki;PRZL WTZW
1P;11929265;50000160722;Blokada łańcucha;06.09.2023;1-Modelator OPM;GAWROPIOT1;1 - bardzo wysokie;MOBI PRZL ZWZK
1P;11924702;50000160431;USZKODZENIE CZUJNIKA;03.09.2023;1-Modelator OPM;SKRETKACP1;;PRZL WTZW
1P;11924136;50000160383;Cieknący zawór trójdrożny;03.09.2023;1-Modelator OPM;GAWROPIOT1;3-średni;MOBI PRZL ZWZK
1P;11915737;50000159238;NAPRAWA POMP;25.08.2023;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11882808;50000156545;SMAROWANIE ŁOŻYSK;23.07.2023;1-Modelator OPM;TARKAKAMI1;;PRZL WTZW
1P;11882505;50000156447;ZADRAPANA OSŁONA SKANERA;22.07.2023;1-Modelator OPM;RUDECMARC1;;PRZL WTZW
1P;11875768;50000155679;USZKODZENIE STYCZNIKA;14.07.2023;1-Modelator OPM;SKRETKACP1;;PRZL WTZW
PT;11861156;50000154774;Naprawa wózka paletowego;27.06.2023;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
PT;11846650;50000152993;Serwis urządzeń GWK cs90;12.06.2023;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
PT;11817364;50000150685;Przegląd owijarek Manuli;16.05.2023;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
1P;11814609;50000150505;Usterka czujki temperatury;13.05.2023;1-Modelator OPM;GAWROPIOT1;3-średni;MOBI PRZL ZWZK
1P;11811825;50000150375;Nieszczelny układ wody;10.05.2023;1-Modelator OPM;GAWROPIOT1;4-niski;MOBI PRZL ZWZK
1P;11793671;50000148804;REALIZACJA YLECEN FOX;19.04.2023;1-Modelator OPM;SZCZEALBE1;;PRZL WTZW
1P;11756324;50000145631;USZKODZONY SIŁOWNIK;10.03.2023;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11748759;50000145430;Nie grzeje nóż na czekoladzie.;03.03.2023;1-Modelator OPM;GAWROPIOT1;3-średni;MOBI PRZL ZWZK
1P;11748164;50000145153;NAPRAWA TRANSPORTERA;02.03.2023;1-Modelator OPM;TARKAKAMI1;;PRZL WTZW
PQ;11746405;50000145174;MODYFIKACJA LICZENIA FORM II;01.03.2023;1-Modelator OPM;CZYZEMARC1;;PRZL WTZW
PT;11746176;50000145327;Regeneracja wałków Esgum;01.03.2023;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
PT;11742735;50000144698;Przegląd prewencyjny Modelator OPM;25.02.2023;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
PT;11725173;50000143016;Regeneracja napinacza;07.02.2023;1-Modelator OPM;GROTEARKA1;;PRZL ZWZK
1P;11721641;50000142788;USZKODZONA POMPA NA TEMPERÓWCE;04.02.2023;1-Modelator OPM;TARKAKAMI1;;PRZL WTZW
1P;11719008;50000142701;WYCIEK WODY NA LEJU;02.02.2023;1-Modelator OPM;TARKAKAMI1;;PRZL WTZW
PQ;11715438;50000142310;MODYFIKACJA LICZENIA FORM;30.01.2023;1-Modelator OPM;CZYZEMARC1;;PRZL WTZW
1P;11712794;50000142427;Przerobienie gum z algaiera.;31.01.2023;1-Modelator OPM;GAWROPIOT1;3-średni;MOBI PRZL ZWZK
1P;11698952;50000140607;USZKODZONE SRUBY PRZY MATRYCY KREMOWEJ;14.01.2023;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11663535;50000137616;WYMIANA WENTYLATORA;05.12.2022;1-Modelator OPM;LASOTSLAW1;;PRZL WTZW
1P;11656543;50000137050;BRAK SPRĘŻYN NA NOŻU ZGARNIAJĄCYM;29.11.2022;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11637312;50000134891;WYJĄCA POMPA KREMOWA;09.11.2022;1-Modelator OPM;LASOTSLAW1;;PRZL WTZW
1P;11633691;50000135245;LUŻNY ŁAŃCUCH;07.11.2022;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11626623;50000134384;USZKODZONY TRANSPORTER;29.10.2022;1-Modelator OPM;FIGARPRZE1;;PRZL WTZW
PT;11618892;50000133516;Serwis urządzeń GWK cs90;20.10.2022;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
1P;11607326;50000132568;PRZESUNIĘTE KOŁO ZĘBATE NA WAŁKU WINDY;07.10.2022;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11604126;50000132263;USZKODZONE SIŁOWNIKI WIBRATORA WAGOWEGO;04.10.2022;1-Modelator OPM;LASOTSLAW1;;PRZL WTZW
1P;11600998;50000131849;USZKODZONY REDUKTOR NA NALEWARCE;30.09.2022;1-Modelator OPM;STUDZLUKA1;;PRZL WTZW
1P;11600930;50000131775;MODERNIZACJA USZCZELNIACZY;30.09.2022;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11600506;50000131945;WYMIANA USZCZELNIEŃ NALEWARKI CZEKOLADOW;29.09.2022;1-Modelator OPM;LASOTSLAW1;;PRZL WTZW
1P;11599765;50000131900;WYMIANA USZCZELNIEŃ W NALEWARKACH;29.09.2022;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11599404;50000131436;WYMIANA USZCZELNIEN NA NALEWARCE;28.09.2022;1-Modelator OPM;STUDZLUKA1;;PRZL WTZW
1P;11584242;50000130124;USUWANIE NIESZCZELNOŚCI;11.09.2022;1-Modelator OPM;TARKAKAMI1;;PRZL WTZW
1P;11583926;50000130140;ELIMINACJA PRZECIEKÓW SPR. POWIETRZA;10.09.2022;1-Modelator OPM;LASOTSLAW1;;PRZL WTZW
1P;11583859;50000130120;USUWANIE NIESZCZELNOŚCI;10.09.2022;1-Modelator OPM;STUDZLUKA1;;PRZL WTZW
1P;11574209;50000129035;MONTAŻ PROWADNICY ŁAŃCUCHA GŁÓWNEGO;31.08.2022;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11571803;50000129148;URWANA PROWADNICA ŁAŃCUCHA;27.08.2022;1-Modelator OPM;TARKAKAMI1;;PRZL WTZW
1P;11566695;50000128782;PROSTOWANIE ZGARNIACZA;21.08.2022;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11565379;50000128368;TRZEBA PRZYSPIESZYĆ SIŁOWNIK;19.08.2022;1-Modelator OPM;LASOTSLAW1;;PRZL WTZW
1P;11565134;50000128330;USZKODZONA CZULKA;18.08.2022;1-Modelator OPM;KARPIDARI1;;PRZL WTZW
1P;11563520;50000128356;ODERWANA PODŁOGA PODESTU;16.08.2022;1-Modelator OPM;ZEBRORAFA1;;PRZL WTZW
1P;11557433;50000128243;ZERWANY PASEK KLINOWY POMPY;07.08.2022;1-Modelator OPM;ZEBRORAFA1;;PRZL WTZW
1P;11555972;50000127834;C.D. AWARII Z 1-ZMIANY;04.08.2022;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11552468;50000127882;WYMIANA REDUKTORA POWIETRZA;30.07.2022;1-Modelator OPM;FIGARPRZE1;;PRZL WTZW
1P;11550982;50000127612;AWARJA CZUJNIKÓW;28.07.2022;1-Modelator OPM;KOWALROBE1;;PRZL WTZW
1P;11547806;50000127233;URWANA ŚRUBA PRZY MIESZDLE;23.07.2022;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11545094;50000127226;WYMIANA MOCOWANIA SIŁOWNIKA;19.07.2022;1-Modelator OPM;STUDZLUKA1;;PRZL WTZW
1P;11543813;50000126899;USZKODZONY ZAWÓR PRZY TĘPERÓWCE;18.07.2022;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11542554;50000127010;SKOKI TEMPERATUR NA TEMPERÓWCE KREMOWEJ;15.07.2022;1-Modelator OPM;LASOTSLAW1;;PRZL ZWZK
1P;11539358;50000126935;PROBLEM Z CZUJKĄ PRZEKŁADACZA;09.07.2022;1-Modelator OPM;LASOTSLAW1;;PRZL WTZW
PT;11532085;50000126552;Przegląd prewencyjny Modelatora OPM;27.06.2022;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
1P;11530330;50000126624;BLOKADA OBRACACZA FORM;22.06.2022;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11527689;50000125895;WYMIANA USZCZELNIENIA W ZAWORZE NAL.KREM;18.06.2022;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11524034;50000125975;MONTAŻ UKŁADU PODNOSZENIA FORM;11.06.2022;1-Modelator OPM;LASOTSLAW1;;PRZL WTZW
1P;11520045;50000125724;WYMIANA POMPKI OBIEGOWEJ NA TĘPERÓWKĘ;05.06.2022;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11519974;50000125769;USZKODZONY SIŁOWNIK PRZY NAL. KREMOWEJ;05.06.2022;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11519778;50000125519;USZKODZONY SIŁOWNIK PODNOSZENIA FORM;04.06.2022;1-Modelator OPM;LASOTSLAW1;;PRZL WTZW
1P;11517545;50000125291;AWARIA NALEWARKI;01.06.2022;1-Modelator OPM;FIGARPRZE1;;PRZL WTZW
1P;11515577;50000125394;USZKODZONY WIBRATOR KRAWĘDZIOWY.;27.05.2022;1-Modelator OPM;STUDZLUKA1;;PRZL WTZW
1P;11506425;50000124338;REGULACJA WIBRATORÓW WAGOWYCH;12.05.2022;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11506398;50000124912;REGULACJA WIBRATORÓW WAGOWYCH;12.05.2022;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11488448;50000123811;USZKODZONA WTYCZKA;11.04.2022;1-Modelator OPM;SZCZEPIOT1;;PRZL WTZW
PT;11483542;50000123229;Przegląd prewencyjny Modelator OPM;04.04.2022;1-Modelator OPM;GROTEARKA1;;PRZL ZWZK
1P;11462163;50000122186;USZKODZENIE OBWODU STERUJĄCEGO;02.03.2022;1-Modelator OPM;SKRETKACP1;;PRZL WTZW
PT;11461010;50000121970;Przegląd prewencyjny modelatora OPM;01.03.2022;1-Modelator OPM;GROTEARKA1;;PRZL ZWZK
1P;11460309;50000121890;USZKODZENIE CZUJNIKA;28.02.2022;1-Modelator OPM;SKRETKACP1;;PRZL ZWZK
1P;11457900;50000121963;USZKODZONY SIŁOWNIK;24.02.2022;1-Modelator OPM;ZEBRORAFA1;;PRZL ZWZK
PT;11457849;50000121806;Wymiana prowadnic łańcucha;24.02.2022;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
1P;11435519;50000120560;AWARIA MASZYNY;23.01.2022;1-Modelator OPM;KOWALROBE1;;PRZL ZWZK
PT;11435428;50000120481;USZKODZONY ELEKTROZAWÓR;24.01.2022;1-Modelator OPM;STUDZLUKA1;;PRZL WTZW
1P;11428951;50000119795;AWARIA WINDY;12.01.2022;1-Modelator OPM;SKRETKACP1;;PRZL WTZW
1P;11426323;50000119668;KONTROLA PRACY ZAWORÓW I POMP W CHŁODNI;10.01.2022;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11423588;50000119701;PĘKNIĘTY PAS ZĘBATY NA PRZEKŁADACZU;03.01.2022;1-Modelator OPM;STUDZLUKA1;;PRZL ZWZK
1P;11422832;50000119650;USZKODZENIE POMPY OBIEGOWEJ;03.01.2022;1-Modelator OPM;SKRETKACP1;;PRZL ZWZK
1P;11418247;50000119309;AWARIA MASZYNY;21.12.2021;1-Modelator OPM;KOWALROBE1;;PRZL WTZW
PP;11418243;50000119308;AWARIA MASZYNY;21.12.2021;1-Modelator OPM;KOWALROBE1;;PRZL WTZW
1P;11407738;50000118629;SKŁADANIE NALEWARKI CZEKOLADOWEJ;05.12.2021;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
1P;11407615;50000118521;USZKODZONY ODPOWIETRZNIK;05.12.2021;1-Modelator OPM;ZEBRORAFA1;;PRZL WTZW
1P;11407461;50000118641;USZKODZONY ZAWÓR NALEWARKI;04.12.2021;1-Modelator OPM;ZEBRORAFA1;;PRZL WTZW
PT;11404592;50000118128;Wymiana łańcucha;01.12.2021;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
1P;11400986;50000118229;USZKODZENIE CZUJNIKA CISNIENIA;25.11.2021;1-Modelator OPM;SKRETKACP1;;PRZL ZWZK
1P;11400966;50000118266;USZKODZONY MANOTERMOMETR TEMPERÓWKI;25.11.2021;1-Modelator OPM;LASOTSLAW1;;PRZL ZWZK
PM;11388698;50000117359;USUWANIE NIESZCZELNOŚCI;08.11.2021;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
PM;11385597;50000117263;WYMIANA SPRĘŻYN GAZOWYCH NA RENTGENIE.;03.11.2021;1-Modelator OPM;STUDZLUKA1;;PRZL WTZW
PM;11382552;50000117033;ZURZYTE SPRZEGŁO;29.10.2021;1-Modelator OPM;ZEBRORAFA1;;PRZL WTZW
PT;11382535;50000116873;Wykonanie szuflad pod modelator;29.10.2021;1-Modelator OPM;GROTEARKA1;;PRZL ZWZK
PM;11380172;50000117026;GŁOŚNO PRACUJĄCY WIBRATOR;26.10.2021;1-Modelator OPM;STUDZLUKA1;;PRZL ZWZK
PM;11367630;50000115695;AWARIA MASZYNY;09.10.2021;1-Modelator OPM;KOWALROBE1;;PRZL ZWZK
PP;11367498;50000115694;AWARIA MASZYNY;09.10.2021;1-Modelator OPM;KOWALROBE1;;PRZL ZWZK
PT;11366894;50000115775;Wymiana modułu;08.10.2021;1-Modelator OPM;GROTEARKA1;;PRZL WTZW
PM;11353400;50000115150;BLOKADY FORM;20.09.2021;1-Modelator OPM;ZEBRORAFA1;;PRZL ZWZK
PM;11347198;50000115062;USZKODZENIE GRZAŁEK;11.09.2021;1-Modelator OPM;KARPIDARI1;;PRZL ZWZK
PM;11338381;50000114333;WYMIANA USZCZELNIENIA;01.09.2021;1-Modelator OPM;TARKAKAMI1;;PRZL WTZW
PM;11335470;50000114076;ZABLOKOWANY TRANSPORTER WINDY ODBIERAJĄC;26.08.2021;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
PM;11327207;50000113587;DEMONTAŻ BĘBNA SPRĘŻONEGO POWIETRZA;16.08.2021;1-Modelator OPM;GADEKJACE1;;PRZL WTZW
