Zawiadomienie;Rodzaj zawiadomienia;Utworzono dnia;Pocz. zakłóc. (godz.);Koniec zakłóc.(godz.);Przestój;Urządzenie;Lokalizacja funkc.;Lokalizacja;Opis;Czas przestoju;Jedn. czasu przest.;Wpływ;Kod uszkodzenia;Tekst dot. szkody;Kod przyczyny;Ozn. lokaliz. funkc.;Line functional location;Ozn. lokaliz. funkc.;Oznaczenie obiektu
12476707;PT;02.01.2025;06:30:17;00:00:00;;10117891;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD WAŁKA CZYSZCZĄCEGO FORMY;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1 - Wałek czyszczący formy
12476708;PT;02.01.2025;06:32:26;00:00:00;;10117907;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD SKŁADACZA FORM;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Składacz form 1                 002104
12476709;PT;02.01.2025;06:33:21;00:00:00;;10117921;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD SKŁADACZA FORM;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Składacz form 2                 005066
12476881;1P;02.01.2025;08:21:02;00:00:00;X;10116830;PLPA-PR-U11-010717;UGP11;Nieszczelność układu powietrza pirotino;0,00E+00;H;1;;;;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Maszyna pakująca Ermetico 2     003231
12476882;1P;02.01.2025;08:26:36;00:00:00;X;10116831;PLPA-PR-U11-010717;UGP11;Nieszczelność układu powietrza;0,00E+00;H;3;;;;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Maszyna pakująca Ermetico 3     003775
12477054;PT;02.01.2025;10:11:16;00:00:00;;10117886;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD MODUŁU TNACEGO;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2 - Moduł tnący 1
12477068;PT;02.01.2025;10:33:00;00:00:00;;10117887;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD MODUŁU TNACEGO;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2- Moduł tnący 2
12477097;PT;02.01.2025;10:34:24;00:00:00;;10127128;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD PODAJNIKA MIGDAŁA;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Podajnik migdała Labotek
12477128;PT;02.01.2025;10:36:00;00:00:00;;10117916;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD OBRACACZA FORM;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Obracacz form
12477141;PT;02.01.2025;10:37:18;00:00:00;;10117915;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD PRZEKŁADACZA;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Przekładacz na trans. siat. 2   005114
12477142;PT;02.01.2025;10:39:25;00:00:00;;10118744;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD  SIATKI;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Transporter siatkowy
12477143;PT;02.01.2025;10:40:38;00:00:00;;10117890;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD CZUJNIKÓW;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1 - Transporter główny modelatora
12477144;PT;02.01.2025;10:58:48;00:00:00;;10125328;PLPA-PR-U11-010703-004;UGP11;PRZEGLĄD WYMIANA TAŚM;0,00E+00;H;;;;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Pakowarka pozioma 7
12477145;PT;02.01.2025;11:01:03;00:00:00;;10151856;PLPA-PR-U11-010703-005;UGP11;PRZEGLĄD TRANSPORTERA PIONOWEGO;0,00E+00;H;;;;;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-System pakowania + przenośnik pionowy
12477146;PT;02.01.2025;11:07:39;00:00:00;;10079715;PLPA-PR-U11-010703-006;UGP11;PRZEGLĄD ETYKIECIARKI;0,00E+00;H;;;;;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Etykieciarka T3/T4 2
