Level_4,Level_6,Level_6_Kod,Level_7,Level_7_Kod,Level_8,Level_8_Kod,Level_9,Level_9_Kod,Level_10,Level_10_Kod,Level_12,Level_12_Kod
,,,,,,,,,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,,,,,,,,,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,,,,,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Zbiornik ciasta RAF przy piecach506230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10244088,,,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1- Zespół transporterów odpadu RAF506230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10244120,,,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1- Mikser RAF K506310UGP03PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10119060,,,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Piec do wypieku wafla RAF 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079542,,,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Piec do wypieku wafla RAF 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079542,"2-Homogenizator - YSTRAL30UGP31PLPAPL42P03            0,00PLPA-PR-U11-010703-001",10079543,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Piec do wypieku wafla RAF 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079542,"2-PLASTYFIKATOR DO CIASTA V-1000L30UGP31PLPAPL42P03            0,00PLPA-PR-U11-010703-001",10079544,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Piec do wypieku wafla RAF 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079542,"2-ZBIORNIK DO CIASTA V-1500L30UGP31PLPAPL42P03            0,00PLPA-PR-U11-010703-001",10079545,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Piec do wypieku wafla RAF 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079542,"2-ZBIORNIK DO CIASTA V-120L30UGP31PLPAPL42P03            0,00PLPA-PR-U11-010703-001",10079546,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Piec do wypieku wafla RAF 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079542,"2-SEPARATOR DO MĄKI V-500L30UGP31PLPAPL42P03            0,00PLPA-PR-U11-010703-001",10079547,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Piec do wypieku wafla RAF 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079542,"2-Głowica506230UGP31PLPAPL42P03            0,00PLPA-PR-U11-010703-001",10156237,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Piec do wypieku wafla RAF 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079542,"2-Zespół transportu form506230UGP31PLPAPL42P03            0,00PLPA-PR-U11-010703-001",10184899,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Piec do wypieku wafla RAF 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079542,"2-Zespół odpadu506230UGP31PLPAPL42P03            0,00PLPA-PR-U11-010703-001",10184900,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Piec do wypieku wafla RAF 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079548,,,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Piec do wypieku wafla RAF 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079548,"2-ZBIORNIK DO CIASTA V-120L30UGP31PLPAPL48P03            0,00PLPA-PR-U11-010703-001",10079549,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Piec do wypieku wafla RAF 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079548,"2-Głowica506230UGP31PLPAPL48P03            0,00PLPA-PR-U11-010703-001",10184884,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Piec do wypieku wafla RAF 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079548,"2-Zespół odpadu506230UGP31PLPAPL48P03            0,00PLPA-PR-U11-010703-001",10184888,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Piec do wypieku wafla RAF 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079548,"2-Zespół transportu form506230UGP31PLPAPL48P03            0,00PLPA-PR-U11-010703-001",10184892,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Transp. polikord  RAF za piecem 1506230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10244068,,,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Transp. polikord RAF za piecem 2506230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10244069,,,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Łukowy przechładzacz wafla 1 RAF ARKA30UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079550,,,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Łukowy przechładzacz wafla 1 RAF ARKA30UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079550,"2-Młynek do wafla30UGP31PLPAPL50P03            0,00PLPA-PR-U11-010703-001",10079551,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Łukowy przechładzacz wafla 2 RAF ARKA30UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079552,,,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Łukowy przechładzacz wafla 2 RAF ARKA30UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079552,"2-Młynek do wafla30UGP31PLPAPL52P03            0,00PLPA-PR-U11-010703-001",10079553,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Nawilżacz wafla 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079554,,,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Nawilżacz wafla 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079554,"2-CENTRALA KLIMATYZ. FAST FM50 8305946 (30UGP31PLPAPL54P03            0,00PLPA-PR-U11-010703-001",10079555,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Nawilżacz wafla 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079554,"2-CENTRALA KLIMATYZ. FAST FM50 8305946 (30UGP31PLPAPL54P03            0,00PLPA-PR-U11-010703-001",10079556,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Nawilżacz wafla 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079554,"2-Transporter wafla z magazynkiem /podst30UGP31PLPAPL54P03            0,00PLPA-PR-U11-010703-001",10079557,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Nawilżacz wafla 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079554,"2-Magazynek wafla z transporterem nr 1 /30UGP31PLPAPL54P03            0,00PLPA-PR-U11-010703-001",10079558,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Nawilżacz wafla 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079554,"2-Maszyna ścinajaca wafel nr 230UGP31PLPAPL54P03            0,00PLPA-PR-U11-010703-001",10079559,,,,
PLPA-PR-U11-010703RAFFAELLO LINIA 2,PLPA-PR-U11-010703-001PIECE Z NAWILŻACZAMI RAFFAELLO506230,,,,"1-Nawilżacz wafla 230UGP31PLPAPL10P03            0,00PLPA-PR-U11-010703-001",10079560,,,,,,
