Zakład;Zawiadomienie;Rodzaj zawiadomienia;Utworzono dnia;Utworzone przez;Początek zakłócenia;Pocz. zakłóc. (godz.);Koniec zakłócenia;Koniec zakłóc.(godz.);Żądane rozpoczęcie;Żądana godzina rozp.;Żądane zakończenie;Żądana godz. zak.;Przestój;Urządzenie;Lokalizacja funkc.;Dotyczy urządzenia;Lokalizacja;Stanowisko robocze;Opis;Czas przestoju;Jedn. czasu przest.;Nr zlecenia;Status zawiadomienia;Opis;Notification Long Text;Grupa planistów;Wpływ;Dot. lokaliz. funkc.;Problem;Kod uszkodzenia;Tekst dot. szkody;Część obiektu;Kod części obiektu;Tek. kodu części ob.;Tekst pozycji;Przyczyna;Kod przyczyny;Tekst kodu przyczyny;Tekst przyczyny;Rodzaj zlecenia;Krótki tekst;Status systemu;Ozn. lokaliz. funkc.;Line functional location;Ozn. lokaliz. funkc.;Oznaczenie obiektu;Oznaczenie obiektu
PLPA;12687308;1P;15.06.2025;WILKMATE1;15.06.2025;21:36:16;21.07.2025;04:06:57;21.07.2025;02:53:09;21.07.2025;02:53:21;X;10127015;PLPA-PR-U12-011312-003;10127015;UGP12;90300030;niewystarczająca prędkość pakowania;8,47E+02;H;50000229027;MOBI PRZL ZWZK;;15.06.2025 21:37:46 CET Mateusz Wilk (WILKMATE1) Robót 2 ---------------------------------------- 21.07.2025 02:53:36 CET MACIE;P05;3;PLPA-PR-U12-011312-003;ZPM6;107;Awaria sterowania;;;;;;;;;PLM1;niewystarczająca prędkość pakowania;ZWOL BrMt KWS  MOBI PRRO;NUTELLA B-READY PAKOWANIE;PLPA-PR-U12-011312;NUTELLA B-READY;1 - Zespół kartoniarek Abrigo;1 - Zespół kartoniarek Abrigo
PLPA;12670704;1P;01.06.2025;PLATOKARO2;01.06.2025;00:36:50;01.06.2025;00:45:11;01.06.2025;00:01:50;01.06.2025;00:30:11;X;10102247;PLPA-PR-U43-011446;10102247;UGP43;90300020;USZKODZONA FOTOKOMRKA NA WYJCIU ROBOTA;1,39E-01;H;50000224525;PRZL ZWZK;;01.06.2025 00:47:30 CET Karol Płatos (PLATOKARO2) wymiana fotokomrki 263BR7 na tamie wyjcioewj z pakowaczki 01.06.2025 00:47:30;P04;3;PLPA-PR-U43-011446;ZPM6;107;Awaria sterowania;;;;;ZPM5;108;utrzymanie ruchu;;PLM1;USZKODZONA FOTOKOMRKA NA WYJCIU ROBOTA;ZWOL CZPT DMNK KWS  NPT  PRRO;KB 2. Pakowanie T6;PLPA-PR-U43;UGP43 KINDER BUENO;1-Robot T6 5;1-Robot T6 5
PLPA;12670754;1P;01.06.2025;KAMINBART1;01.06.2025;00:20:36;01.06.2025;00:39:10;01.06.2025;00:20:36;01.06.2025;00:24:10;X;10166539;PLPA-PR-U11-010717;10166539;UGP11;90300020;USZKODZONE GRZAŁKI;3,09E-01;H;50000224136;PRZL ZWZK;;01.06.2025 00:23:58 CET BARTŁOMIEJ KAMIŃSKI (KAMINBART1) Wymiana trzech uszkodzonych grzałek w sekcji wstępnej. Awaria od 23;P11;3;PLPA-PR-U11-010717;ZPM6;112;Awria zasilania;;;;;ZPM5;108;utrzymanie ruchu;;PLM1;USZKODZONE GRZAŁKI;ZAK  CZPT DMNK KWS  NPT  PRRO;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Przekładacz produktu do IPE 1   005109;1-Przekładacz produktu do IPE 1   005109
PLPA;12670786;1P;01.06.2025;SZYSZANDR1;01.06.2025;20:56:19;01.06.2025;21:05:47;01.06.2025;20:21:19;01.06.2025;20:50:47;X;10211795;PLPA-PR-U42-011646;10211795;UGP42;90300020;USTAWIENIE PARAMETROW DRUKARKI;1,58E-01;H;50000224409;PRZL ZWZK;;01.06.2025 20:59:06 CET Andrzej Szyszka (SZYSZANDR1) regulacja,ustawienie parametrow drukarki.;P04;3;PLPA-PR-U42-011646;ZPM6;107;Awaria sterowania;;;;;ZPM5;108;utrzymanie ruchu;;PLM1;USTAWIENIE PARAMETROW DRUKARKI;ZWOL CZPT BrMt KWS  PRRO;KBW 1. Mastello;PLPA-PR-U42;UGP42 KINDER BUENO WHITE;1-Drukarka;1-Drukarka
PLPA;12670788;1P;02.06.2025;JANUSWALD1;02.06.2025;03:20:49;03.06.2025;05:14:08;02.06.2025;08:46:03;02.06.2025;11:03:24;X;10103081;PLPA-PR-U21-010121-001;10103081;UGP21;90300030;Brak kalibracji linii 26 z modelatorem;2,59E+01;H;50000224447;MOBI PRZL ZWZK;;02.06.2025 11:07:53 CET ANDRZEJ ZGIEB (ZGIEBANDR1) Dystrybucja GR, brak pracy w automacie. Brak pozwolenia od ABRIGO.;P21;3;PLPA-PR-U21-010121-001;ZPM6;107;Awaria sterowania;PM1;0040;Części daleko od miejsca naprawy;;ZPM5;110;Brak smarowania / złe smarowanie;;PLM1;Brak kalibracji linii 26 z modelatorem;ZWOL CZPT BrMt KWS  MOBI PRRO;KS MODELATOR;PLPA-PR-U21-010121;KINDER SURPRISE;1-Modelator;1-Modelator
PLPA;12670798;1P;01.06.2025;WILKMATE1;01.06.2025;15:58:19;06.06.2025;10:31:00;01.06.2025;15:59:05;06.06.2025;10:19:42;;10232724;PLPA-PR-U12-011312-003;10232724;UGP12;90300020;Usterka spirali.;0,00E+00;H;50000224469;MOBI PRZL ZWZK;;06.06.2025 10:20:06 CET GRZEGORZ BANASIEWICZ (BANASGRZE2) Naprawa;P05;3;PLPA-PR-U12-011312-003;ZPM5;104;Złamanie;;;;;;;;;PLM6;Usterka spirali.;ZAK  CZPT DMNK KWS  MOBI NPT  PRRO;NUTELLA B-READY PAKOWANIE;PLPA-PR-U12-011312;NUTELLA B-READY;1 - Zespół urzadzeń pakow. Wrap-Around;1 - Zespół urzadzeń pakow. Wrap-Around
PLPA;12670799;1P;01.06.2025;GORZYZBIG1;01.06.2025;22:51:17;02.06.2025;04:11:41;02.06.2025;00:01:00;02.06.2025;01:47:22;X;10116568;PLPA-PR-U11-010703-005;10079651;UGP11;90300020;Awaria kartoniarki 6;5,34E+00;H;50000224410;MOBI PRZL ZWZK;;01.06.2025 22:52:09 CET ZBIGNIEW GÓRZYŃSKI (GORZYZBIG1) Krzywo składa i rwie ---------------------------------------- 02.06.2;P11;3;PLPA-PR-U11-010703-005;ZPM5;103;Zużycie;;;;;ZPM5;108;utrzymanie ruchu;;PLM1;Awaria kartoniarki 6;ZAK  CZPT DMNK KWS  MOBI NPT  PRRO;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-15 -3;2-Kartoniarka K6
PLPA;12670835;1P;01.06.2025;GRABOROBE1;01.06.2025;08:08:03;;00:00:00;01.06.2025;08:08:03;;00:00:00;X;10080143;PLPA-PR-U22-010335;;UGP22;90300020;KOLIZJA PROWADNICY Z SIŁOWNIKAMI.;0,00E+00;H;50000224504;PRZL WTZW;;;P12;3;;;;;;;;;;;;;PLM1;KOLIZJA PROWADNICY Z SIŁOWNIKAMI.;ZWOL CZPT DMNK KWS  NPT  PRRO;KJ T3 VALIGETTA;PLPA-PR-U22;UGP22 KINDER JOY;1-Pakowaczka T3 1;
PLPA;12670838;1P;01.06.2025;GRABOROBE1;01.06.2025;11:08:25;;00:00:00;01.06.2025;11:08:25;;00:00:00;X;10080143;PLPA-PR-U22-010335;;UGP22;90300020;URWANY DOCISKACZ.;0,00E+00;H;50000224505;PRZL WTZW;;;P12;3;;;;;;;;;;;;;PLM1;URWANY DOCISKACZ.;ZWOL CZPT BrMt KWS  PRRO;KJ T3 VALIGETTA;PLPA-PR-U22;UGP22 KINDER JOY;1-Pakowaczka T3 1;
PLPA;12670839;1P;01.06.2025;WILKMATE1;01.06.2025;12:01:22;01.06.2025;14:26:32;01.06.2025;12:02:52;01.06.2025;14:25:25;X;10126856;PLPA-PR-U12-011312-003;10126906;UGP12;90300020;Formowanie T15 do regulacji. K4;2,42E+00;H;50000224506;MOBI PRZL ZWZK;;01.06.2025 14:25:52 CET MARIUSZ BOGUSZ (BOGUSMARI1) Naprawa narzędzia;P05;3;PLPA-PR-U12-011312-003;ZPM5;103;Zużycie;;;;;;;;;PLM1;Formowanie T15 do regulacji. K4;ZAK  CZPT BrMt KWS  MOBI PRRO;NUTELLA B-READY PAKOWANIE;PLPA-PR-U12-011312;NUTELLA B-READY;1 - Zespół kartoniarek SCHUBERT;2 - Kartoniarka T8-15 NR.4 MA004641
