Nr zlecenia;Rodzaj zlecenia;Zakład;Lokalizacja / zakład;Krótki tekst;Line functional location;Ozn. lokaliz. funkc.;Impianto functional location;Ozn. lokaliz. funkc.;Urządzenie;Oznaczenie obiektu;Odpow. stanow. rob.;Status systemu;Baz. term. rozp.;Baz.term.zak.;Wprowadził(a);Data wprowadzenia;Godzina utworzenia;Zawiadomienie;Rodzaj zawiadomienia;Notification Long Text;Utworzono dnia;Utworzone przez;Problem;Kod uszkodzenia;Tekst dot. szkody;Część obiektu;Kod części obiektu;Tek. kodu części ob.;Przyczyna;Kod przyczyny;Tekst kodu przyczyny;Początek zakłócenia;Pocz. zakłóc. (godz.);Koniec zakłócenia;Koniec zakłóc.(godz.);Żądane rozpoczęcie;Żądana godzina rozp.;Żądane zakończenie;Żądana godz. zak.;Czas przestoju;Jedn. czasu przest.;Zmienione przez;Zmienione dnia
50000223634;PLM1;PLPA;UGP11;Uszkodzony pas przed gwiazdą;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;PLPA-PR-U11-010703-004;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;10116398;1-Linia pakowania T1 - 5;90300020;ZAK  CZPT DMNK KWS  MOBI NPT  PRRO;01.06.2025;;BAJORDARI1;01.06.2025;13:47:51;12670848;1P;01.06.2025 14:23:10 CET DARIUSZ BAJORYŃSKI (BAJORDARI1) Wymiana taśmy.;01.06.2025;KOSIAKRZY1;ZPM5;103;Zużycie;;;;ZPM5;108;utrzymanie ruchu;01.06.2025;13:46:56;01.06.2025;15:36:53;01.06.2025;13:47:48;01.06.2025;14:22:41;1,83;H;DOROZKRZY1;07.07.2025
50000223635;PLM1;PLPA;UGP12;Błąd kabla od ethernet;PLPA-PR-U12-010801;KINDER CARDS;PLPA-PR-U12-010801-002;KINDER CARDS MODELATOR;10226080;1-Zespół wycinania wafla jasnego;90300030;ZAK  CZPT BrMt KWS  MOBI PRRO;01.06.2025;;FRACZMACI1;01.06.2025;14:16:29;12671171;1P;01.06.2025 14:17:48 CET MACIEJ FRĄCZEK (FRACZMACI1) Wymiana kabla do wyspy festo jasny wafel 45min;01.06.2025;KOPCZALBE1;ZPM6;110;Przerwa w obwodzie;;;;;;;01.06.2025;12:58:53;01.06.2025;14:31:37;01.06.2025;14:16:26;01.06.2025;14:16:37;1,55;H;DOROZKRZY1;07.07.2025
50000223636;PLM1;PLPA;UGP12;Data do regulacji. A1;PLPA-PR-U12-011312;NUTELLA B-READY;PLPA-PR-U12-011312-003;NUTELLA B-READY PAKOWANIE;10126826;1 - Zespół flowpacków  ACMA;90300030;ZAK  CZPT BrMt KWS  MOBI PRRO;01.06.2025;;FRACZMACI1;01.06.2025;14:19:02;12670987;1P;01.06.2025 14:27:21 CET MACIEJ FRĄCZEK (FRACZMACI1) Źle ustawione parametry nadruku;01.06.2025;WILKMATE1;ZPM6;107;Awaria sterowania;;;;ZPM5;103;Błąd operatora/brak szkoleń użytkownika;01.06.2025;13:56:32;01.06.2025;15:42:15;01.06.2025;14:18:59;01.06.2025;14:25:42;1,76;H;DOROZKRZY1;07.07.2025
50000223637;PLM6;PLPA;UGP11;Pęknięte blachy zamykania;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;PLPA-PR-U11-010703-002;LINIA WAŻĄCO-PAKUJĄCA 5,6 RAFFAELLO;10152109;1-Linia ważąco-pakujaca T-23 -5;90300020;ZAK  CZPT BrMt KWS  MOBI PRRO;01.06.2025;;WOJDYSEBA1;01.06.2025;19:19:41;12671236;1P;01.06.2025 21:33:08 CET SEBASTIAN WOJDYNA (WOJDYSEBA1) Naprawa;01.06.2025;GORZYZBIG1;ZPM5;104;Złamanie;;;;ZPM5;108;utrzymanie ruchu;01.06.2025;19:18:15;01.06.2025;22:49:43;01.06.2025;19:19:38;01.06.2025;21:32:38;3,52;H;DOROZKRZY1;07.07.2025
50000223638;PLM1;PLPA;UGP42;BRAK PRACY SEKCJI I NALEWANIA.;PLPA-PR-U42-011443;KBW 2.;PLPA-PR-U42-011443-002;KBW 2. Modelator;10155981;1-Nalewarka kremu;90300020;ZWOL CZPT BrMt KWS  PRRO;02.06.2025;02.06.2025;ODZIMTOMA1;02.06.2025;19:46:55;12673031;1P;02.06.2025 19:48:01 CET TOMASZ ODZIMEK (ODZIMTOMA1) Współpraca z automatykiem - regulacja parametrów pracy zaworów.;02.06.2025;ODZIMTOMA1;ZPM6;107;Awaria sterowania;PM1;0040;Części daleko od miejsca naprawy;ZPM5;108;utrzymanie ruchu;02.06.2025;19:46:50;;00:00:00;02.06.2025;18:05:00;02.06.2025;19:00:00;0;H;;
50000223639;PLM1;PLPA;UGP05;Brak ciśnienia na pompce caramel;PLPA-PR-U13-010401;TABLETS;PLPA-PR-U13-010401-001;TABLETS Creams;10241694;1-Zespół pomp aromatów;90300030;ZAK  CZPT BrMt BŁKL KWS  MOBI PRRO;03.06.2025;;DABROPIOT2;03.06.2025;01:55:53;12673208;1P;03.06.2025 01:56:59 CET PIOTR DĄBROWSKI (DABROPIOT2) Lokalizacja i usunięcie przerwy w obwodzie sterowania;03.06.2025;FIGURWIOL1;ZPM7;118;Awaria sieci;;;;;;;03.06.2025;01:32:57;03.06.2025;02:11:04;03.06.2025;01:55:49;03.06.2025;01:56:04;0,64;H;DOROZKRZY1;07.07.2025
50000224099;PLM1;PLPA;UGP43;WYMIANA DRIVERA;PLPA-PR-U43;UGP43 KINDER BUENO;PLPA-PR-U43-011544;KB Multipack 2(KB 3);10101831;1-Robot pakujący KB 3;90300020;ZWOL CZPT DMNK KWS  NPT  PRRO;01.06.2025;01.06.2025;GOZDZJARO2;01.06.2025;09:35:11;12670942;1P;01.06.2025 10:35:00 CET Jarosław Goździk (GOZDZJARO2) Wymiana zasilacza driver;01.06.2025;GOZDZJARO2;ZPM6;107;Awaria sterowania;;;;ZPM5;108;utrzymanie ruchu;01.06.2025;09:35:07;01.06.2025;10:35:16;01.06.2025;09:37:07;01.06.2025;10:20:16;1;H;GOZDZJARO2;01.06.2025
50000224136;PLM1;PLPA;UGP11;USZKODZONE GRZAŁKI;PLPA-PR-U11;UGP11 RAFFAELLO;PLPA-PR-U11-010717;LINIA PAKUJĄCA ERMETICO RAFFAELLO;10166539;1-Przekładacz produktu do IPE 1   005109;90300020;ZAK  CZPT DMNK KWS  NPT  PRRO;01.06.2025;01.06.2025;KAMINBART1;01.06.2025;00:20:41;12670754;1P;01.06.2025 00:23:58 CET BARTŁOMIEJ KAMIŃSKI (KAMINBART1) Wymiana trzech uszkodzonych grzałek w sekcji wstępnej. Awaria od 23;01.06.2025;KAMINBART1;ZPM6;112;Awria zasilania;;;;ZPM5;108;utrzymanie ruchu;01.06.2025;00:20:36;01.06.2025;00:39:10;01.06.2025;00:20:36;01.06.2025;00:24:10;0,31;H;DOROZKRZY1;07.07.2025
50000224137;PLM1;PLPA;UGP21;Uciekająca korekcja aluminium;PLPA-PR-U21-010123;FIGURA CAVA;PLPA-PR-U21-010169-001;FC PAKOWANIE IFC T110 1;10079783;1-Maszyna pakująca IFC T110;90300020;ZWOL CZPT BrMt KWS  MOBI PRRO;01.06.2025;;TARKAKAMI1;01.06.2025;01:25:40;12667507;1P;01.07.2025 06:18:48 CET KAMIL TARKA (TARKAKAMI1);29.05.2025;KAMINMICH1;ZPM5;100;Deformacja;;;;;;;29.05.2025;08:45:22;01.07.2025;06:33:42;01.06.2025;01:25:37;01.07.2025;06:18:42;789,81;H;;
50000224138;PLM1;PLPA;UGP21;Zle zawijanie na figurce doszczelnianie;PLPA-PR-U21-010123;FIGURA CAVA;PLPA-PR-U21-010169-002;FC PAKOWANIE IFC T110 2;10164251;1-Maszyna pakująca IFC T110 2;90300020;ZWOL CZPT BrMt KWS  MOBI PRRO;01.06.2025;;TARKAKAMI1;01.06.2025;01:27:26;12670775;1P;01.07.2025 06:55:59 CET KAMIL TARKA (TARKAKAMI1);31.05.2025;MUSZYGRZE1;ZPM5;100;Deformacja;;;;;;;31.05.2025;19:54:56;01.07.2025;07:10:54;01.06.2025;01:27:23;01.07.2025;06:55:54;731,27;H;;
